ID,Placa,Infraccion,Fecha,Costo,Estado1,ARB787,N01,20/11/2017,19800.0,PENDIENTE1,ARB787,N01,20/11/2017,19800.0,PENDIENTE
1,B3C712,N01,17/10/2019,19800.0,PENDIENTE
2,B3C712,N01,27/09/2019,19800.0,PENDIENTE
3,B3C712,N01,03/06/2023,19800.0,PENDIENTE
4,F8S295,N01,16/09/2020,19800.0,PENDIENTE
5,F8S295,N01,22/02/2021,19800.0,PENDIENTE
6,F8S295,N01,16/09/2020,19800.0,PENDIENTE
7,F8S295,N01,22/02/2021,19800.0,PENDIENTE
8,APP332,R02,19/08/2022,2475.0,PENDIENTE
9,APP332,R01,10/05/2023,2475.0,PENDIENTE
10,C7U695,R01,30/09/2020,1425.0,PENDIENTE
11,C7U695,R01,10/06/2023,2475.0,PENDIENTE
12,A9I485,V7,14/04/2021,495.0,PENDIENTE
13,A9I485,V7,14/04/2021,495.0,PENDIENTE
14,A1K478,R01,14/01/2022,2475.0,PENDIENTE
15,A1K478,R02,23/03/2022,2475.0,PENDIENTE
16,A1K478,R02,20/02/2019,2475.0,PENDIENTE
17,A1K478,R02,10/10/2019,2475.0,PENDIENTE
18,A1K478,R02,11/05/2022,2475.0,PENDIENTE
19,C0U652,R08,08/07/2021,990.0,PENDIENTE
20,C0U652,R05,06/01/2021,990.0,PENDIENTE
21,C0U652,R08,08/07/2021,990.0,PENDIENTE
22,C0U652,R05,06/01/2021,990.0,PENDIENTE
23,V4C368,R02,27/08/2019,2475.0,PENDIENTE
